epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,185.865,1.41952,0.7998,0.9932,0.57685,0.000237937,0.000237937,0.000237937
2,350.02,0.84546,0.8358,0.9969,0.47246,0.000318877,0.000318877,0.000318877
3,506.954,0.70578,0.8469,0.9968,0.42243,0.000242738,0.000242738,0.000242738
